etiqueta,experiencia_slug,tipo_regla,precio_cop,min_pax,max_pax,origen,orden,activa,supabase_id
Doble,nevado-del-cocuy-salida-jueves,per_origin_accommodation,738000,,,Bogotá,4,Sí,5d50919b-8ceb-46a6-ba7d-4da1862c0194
Doble,nevado-del-cocuy-salida-jueves,per_origin_accommodation,738000,,,Bogotá,4,Sí,6f6752a8-c164-4361-8c2f-d54b51c49762
Doble,nevado-del-cocuy-salida-jueves,per_origin_accommodation,738000,,,Bogotá,4,Sí,98b3418c-ea55-4090-87a1-bf2c5dfeebb0
Doble,nevado-del-cocuy-salida-jueves,per_origin_accommodation,738000,,,Bogotá,4,Sí,ad88a8e0-098f-40b6-b0fb-254fd81a2647
Doble,nevado-del-cocuy-salida-jueves,per_origin_accommodation,738000,,,Bogotá,4,Sí,d7c44065-5ecc-4034-8b4e-4d8af149e2d0
Doble,nevado-del-cocuy-salida-jueves,per_origin_accommodation,738000,,,Bogotá,4,Sí,fddde24a-d31a-4313-8277-0d38e729fc95
Doble,nevado-del-cocuy-salida-jueves,per_origin_accommodation,738000,,,Bogotá,4,Sí,14dfa0dd-f91e-4f31-a3fb-7aa7b2deda27
Doble,nevado-del-cocuy-salida-jueves,per_origin_accommodation,738000,,,Bogotá,4,Sí,58b1436b-f401-4647-a30c-cdb87fa824bb
Doble,nevado-del-cocuy-salida-jueves,per_origin_accommodation,738000,,,Bogotá,4,Sí,5f885bd1-bb38-45a2-acba-8d409770d534
Doble,nevado-del-cocuy-salida-jueves,per_origin_accommodation,738000,,,Bogotá,4,Sí,8cda145a-66a1-4f46-b751-0efa85bcd6a8
1 persona,guajira-3-dias-2-noches,per_person,4623000,1,1,,0,Sí,ff45d437-41b7-4b71-9788-9dc8d7432ebc
2 personas,guajira-3-dias-2-noches,per_person,2928000,2,2,,1,Sí,58ad76bc-436e-4f31-a928-7874fbb08dde
3 personas,guajira-3-dias-2-noches,per_person,2363000,3,3,,2,Sí,1eba7337-6d82-4067-a1aa-d27bda37d142
De 4 a 15 personas,guajira-3-dias-2-noches,per_person,2080053,4,1,,3,Sí,1f2fd83e-49fe-44b4-9862-8a5cc26f32e9
,nevado-del-cocuy-salida-jueves,per_origin_accommodation,0,,,Bogotá,0,Sí,5499ea3d-2824-40da-978c-683cce85e3ad
,nevado-del-cocuy-salida-jueves,per_origin_accommodation,0,,,Bogotá,0,Sí,843dd17b-d3b8-4b13-bd0d-da0c8c5b52af
,nevado-del-cocuy-salida-jueves,per_origin_accommodation,0,,,Bogotá,0,Sí,4637ab97-30c7-4057-be43-dab47eeecf00
,nevado-del-cocuy-salida-jueves,per_origin_accommodation,0,,,Bogotá,0,Sí,cc1e8353-9d98-459c-914e-27951179d48b
,nevado-del-cocuy-salida-jueves,per_origin_accommodation,0,,,Bogotá,0,Sí,2a7e394e-4fc1-4c67-bf09-0c6e92c46228
,nevado-del-cocuy-salida-jueves,per_origin_accommodation,0,,,Bogotá,0,Sí,dbf5988e-ac43-48d4-b50e-c5aefb15f57e
,nevado-del-cocuy-salida-jueves,per_origin_accommodation,0,,,Bogotá,0,Sí,a8d3d20c-0a6f-4d43-9eb1-b67de90028ca
,nevado-del-cocuy-salida-jueves,per_origin_accommodation,0,,,Bogotá,0,Sí,10551971-fb08-47d5-9e7f-131ac05a2384
Individual,nevado-del-cocuy-salida-jueves,per_origin_accommodation,852000,,,Bogotá,2,Sí,2349c9e5-ea65-4d48-8702-d33e45589778
,nevado-del-cocuy-salida-jueves,per_origin_accommodation,0,,,Bogotá,0,Sí,a2c355f3-826b-4aec-87e5-7962cc6bfde7
,nevado-del-cocuy-salida-jueves,per_origin_accommodation,0,,,Bogotá,0,Sí,f51559b8-f34a-4a4f-9c2d-9665ffcb0363
Individual,nevado-del-cocuy-salida-jueves,per_origin_accommodation,852000,,,Bogotá,2,Sí,deb6cd21-8ca9-4c5a-91b9-fe7764efbc0c
Individual,nevado-del-cocuy-salida-jueves,per_origin_accommodation,852000,,,Bogotá,2,Sí,1536a696-2bd4-4ad2-8d1d-fa8e7a27a00c
Individual,nevado-del-cocuy-salida-jueves,per_origin_accommodation,852000,,,Bogotá,2,Sí,46f49e39-f3b1-4a94-8f18-08011fbf7783
Individual,nevado-del-cocuy-salida-jueves,per_origin_accommodation,852000,,,Bogotá,2,Sí,da0ba4e6-d48d-4d5e-8846-54c0ad2c53dc
Individual,nevado-del-cocuy-salida-jueves,per_origin_accommodation,852000,,,Bogotá,2,Sí,125d8bc5-a269-402e-991f-ea804e59694a
Individual,nevado-del-cocuy-salida-jueves,per_origin_accommodation,852000,,,Bogotá,2,Sí,ff6df3f2-0c3e-4372-b93e-61adea53d298
Individual,nevado-del-cocuy-salida-jueves,per_origin_accommodation,852000,,,Bogotá,2,Sí,71babb73-b1cc-4889-a405-a6c5f6831e3d
Individual,nevado-del-cocuy-salida-jueves,per_origin_accommodation,852000,,,Bogotá,2,Sí,863cb5da-8025-4221-8906-5f2a4375bed6
Individual,nevado-del-cocuy-salida-jueves,per_origin_accommodation,852000,,,Bogotá,2,Sí,32942c3a-2fcd-4afb-a758-3f0af7bb3a67
